Game (459 total),Genre,Year Released,Year Beaten,Platform,Rating,,,
Metroid: Other M,Metroidvania,2010,,Wii,1,,,
MorphX,Trash,2010,,X360,1,The worst game I've ever played,,
Need for Speed Heat,Racing,2019,2021,PC,1,,,
New Super Mario Bros 2,2D Platformer,2012,,3DS,1,,,
Operation: Armored Liberty,FPS,2003,,GBA,1,,,
Paper Mario: Sticker Star,Adventure,2012,,3DS,1,,,
Path of Exile,WRPG,2013,2020,PC,1,,,
Prince of Persia: the Two Thrones,3D Platformer,2005,,GCN,1,,,
Prince of Persia: Warrior Within,3D Platformer,2004,,GCN,1,,,
Red Faction: Armageddon,TPS,2011,,PC,1,,,
Ride to Hell: Retribution,Beat 'Em Up,2013,,X360,1,,,
Robots,Adventure,2005,,GCN,1,,,
Rugrats in Paris: The Movie,Adventure,2000,,PC,1,,,
Rygar: The Legendary Adventure,Action,2002,2019,PS2,1,,,
Serious Sam: The First Encounter,FPS,2001,2018,PDA,1,,,
Shark Tale,WTF,2004,2018,GCN,1,,,
Shrek 2,Beat 'Em Up,2004,,GCN,1,,,
Sly 2,3D Platformer,2004,,PS2,1,,,
Sonic Forces,3D Platformer,2017,2019,PS4,1,,,
Sonic Heroes,3D Platformer,2003,2019,GCN,1,,,
Spongebob Squarepants: The Movie,2D Platformer,2004,,GBA,1,,,
